"Full Name of Legal Entity","Acronym of Organisation","Type of Organisation","Indicate the Type of Organisation","Key Priority Areas of the Organisation","Reason for joining the IRC","Name and Title of Highest Authority","Name of Focal Person for the IRC","Email of Focal Person (Enter Email)","Total Number of Staff","Females","Males","Others","Address (Street Address)","Address (Address Line 2)","Address (City)","Address (State / Province)","Address (ZIP / Postal Code)","Address (Country)","Email of  the Organisation (Enter Email)","Telephone Number of Organisation","Declaration: By checking this box, you agree that your organisation will uphold the terms set forth by the IRC and fulfil all membership obligations. (Consent)","Declaration: By checking this box, you agree that your organisation will uphold the terms set forth by the IRC and fulfil all membership obligations. (Text)","Declaration: By checking this box, you agree that your organisation will uphold the terms set forth by the IRC and fulfil all membership obligations. (Description)","Signed By:","Date","Upload Picture of Head of Organisation (if available)","Upload proof of payment (if available)"
"University of Hohenheim","UHOH","Academia","","Global Food Security|Bioeconomy|Digital Transformation","Finding partners with complementary skills and expertise across countries and regions
Priority access to information on current and expected AU-EU projects and policies
Knowledge exchange with other researchers, jointly exploring resource opportunities","Prof. Dr. Andreas Pyka","Franziska Schenk","franziska.schenk@ua.uni-hohenheim.de","","","","","Akademisches Auslandsamt (900)","","Stuttgart","","","Germany","aaa@ua.uni-hohenheim.de","71145923972","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Prof. Dr. Andreas Pyka","2025-02-19","",""
"University of Helsinki","UH","Academia","","Reasearch|Education","International research cooperation in food and nutrition security and sustainable agriculture.","Rector Sari Lindblom","Ndegwa Henry Maina","henry.maina@helsinki.fi","8800","5200","3600","","P.O. Box 3 (Fabianinkatu 33)","00014 University of Helsinki","Helsinki","","","Finland","admin-viikki@helsinki.fi","504485940","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Head of Department of Agricultural Sciences Pekka Uimari","2025-02-17","",""
"Laboratory for Research on Adapted and Resilient Varieties for Territories","VARTLAB","SME","","Plant breeding, Studies on Agricultural Value Chains,Bioeconomy and Resilient Food Systems,Project Development for Climate Funds,Capacity Building and Support for Agricultural Stakeholders","Access to a High-Level Research and Innovation Network: VARTLAB will benefit from knowledge exchange, tools, and expertise to strengthen its research initiatives
Funding Opportunities and Strategic Partnerships: Being a member of the IRC allows VARTLAB to access funding for research and agricultural innovation
Strengthening VARTLAB’s Impact in Africa
Influence on Research and Innovation Policies
Contribution to a Shared Vision for Agricultural Transformation: By joining this consortium, VARTLAB is committed to playing a key role in the co-creation of innovative solutions for agriculture in Africa and Europe","OTEYAMI Alaye H. Magloire firmin, CEO VARTLAB","OTEYAMI Alaye H. Magloire firmin","12oteyami@gmail.com","20","8","12","","BP 397 Abomey-Calavi, CEB Street, Abomey-Calavi, Benin.","","Abomey-Calavi","","","Benin","12oteyami@gmail.com","0166061213","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","OTEYAMI Alaye H. Magloire Firmin, CEO VARTLAB","2025-02-14","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/1-cb6d30ecd4600c1d945f7313d7bb6668/2025/02/Alaye-H.-Magloire-Firmin-Oteyami_Vartlab-300x300.webp",""
"The French agricultural research and international cooperation organization working for the sustainable development of tropical and Mediterranean regions.","CIRAD","Research","","CIRAD  works with its partners to build knowledge and solutions and invent resilient farming systems for a more sustainable, inclusive world. It mobilizes science, innovation and training in order to achieve the Sustainable Development Goals. Its expertise supports the entire range of stakeholders, from producers to public policymakers, to foster biodiversity protection, agroecological transitions, food system sustainability, health (of plants, animals and ecosystems), sustainable development of rural territories, and their resilience to climate change.","CIRAD was founded in 1984 as a public establishment (EPIC), following a merger of French tropical agricultural research organizations, and is under the joint authority of the Ministry of Higher Education, Research and Innovation and the Ministry for Europe and Foreign Affairs. As such, it supports French science diplomacy operations. CIRAD works in some fifty countries on every continent.However, Africa is a priority in terms of CIRAD's missions and the long-term partnerships that have been established on that continent: research institutions, universities, farmers' organisations, NGOs, as well as regional institutions.
At European level, CIRAD is also involved in various European networks (Agrinatura, Euragri, Scar, etc.).
CIRAD has played a catalytic role in building dialogue between the EU and the AU, through various initiatives and projects (ERA-ARD, ProintensAfrica, LeapAgri, Leap4FNSAA and CEA-First).
He was one of the architects of the IRC, so it is entirely natural that he should be a member.","Elisabeth CLAVERIE DE SAINT MARTIN, Présidente Directrice Générale du Cirad","Sylvie LEWICKI","sylvie.lewicki@cirad.fr","1800","","","","42 rue Scheffer","","75116 PARIS","","","France","pdg@cirad.fr","0153702000","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Elisabeth CLAVERIE DE SAINT MARTIN","2025-02-14","",""
"AgriCord asbl","AgriCord","NGO","","To promote the mutual support amongst farmers organisations worldwide, by advice, training and exchanges, highlighting the added value of this international farmer cooperation in the alliance’s communications.​|To ensure financial support for the activities with farmers’ organisations by prospecting, co-designing, negotiating and managing funding contracts, as well as promoting and coordinating a common mobilisation of resources strategy in close coordination with the farmers’ organisations and cooperatives. ​|To ensure quality cooperation among agri-agencies, farmers’ organisations and cooperatives creating an environment in which joint knowledge production, learning by exchange and improvement by peer support and self-evaluation becomes a natural attitude.","AgriCord is interested to become a full member of the AU-EU International Research Consortium (IRC) on Food and Nutrition Security and Sustainable Agriculture for many reasons:
•	Connecting with a larger network of stakeholders in the research & development environment to pursue collaborative initiatives in this area, while identifying new funding opportunities: Apart from the CEA-FIRST project in which we are a partner, AgriCord is currently implementing the Farmers’ organisation led research and innovation on agroecology (FO-RI) financed by the EU. FO-RI includes 13 Action Research projects in 17 countries around the world (Burkina Faso, Mali, Senegal, Cameroon, Burundi, RDC, Madagascar, Tanzania), in Asia (Philippines), in the Pacific (Fidji, Cook Islands, Solomon Islands, Papua New Guinea, Tonga), in the Caribbean (Haiti) and in Latin America (Brazil et Uruguay) and 14 advocacy actions at regional level in five zones. We are also engaged in a collective action on agroecology with many stakeholders of researchers and practitioners. 
•	Knowledge exchange and scaling up research innovations: Interesting innovations are being tested and validated in the FO-RI initiative. Being part of IRC is an opportunity for knowledge exchange and to identify new funding opportunities for scaling up.
•	Access to visibility to showcase our strength as an alliance of 13 Agri-Agencies mandated by farmers’ organisations.","Pieter Verhelst - President","Katja Vuori - CEO","katja.vuori@agricord.org","9","3","6","0","Trierstraat 59-61","","Brussels","","","Belgium","INFO@AGRICORD.ORG","022392330","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Pieter Verhelst - President","2025-02-12","",""
"Fonds Interprofessionnel pour la Recherche et le Conseil Agricoles","FIRCA","Funding Agency","","Financing of agricultural services (mobilizing resources to finance agricultural and forestry research programmes, agricultural advice and support for professional agricultural organisations)|Technical and financial agency for the agricultural sector in Côte d'Ivoire on behalf of technical and financial partners","Joining the International Research Consortium (IRC) on Food and Nutrition Security and Sustainable Agriculture would allow FIRCA to access advanced resources and knowledge, strengthen its staff's capacities, benefit from funding opportunities, establish strategic partnerships, and increase the impact of its projects through international collaboration. These combined advantages would help FIRCA effectively promote food security and sustainable agriculture in Côte d'Ivoire and beyond.","N'DIAYE Oumar, Executive Director","N'DIAYE Oumar","ndiayeo@firca.ci","122","52","70","","01 BP 3726 ABIDJAN 01","","ABIDJAN","","","Côte d'Ivoire","firca@firca.ci","0719212121","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","N'DIAYE Oumar, Executive Director","2025-02-04","",""
"Science and Technology Policy Research of the Council for Scientific and Industrial Research","CSIR-STEPRI","Research","","Agricultural Policy Related Research|Food Safety|Sustainable Food and Nutrition Systems","To promote effective coordination of Africa wide sustainable food and nutrition research
To enhance organizational visibility and institutional capacity strengthening
To enhance networking and foster organizational and individual working relationship and knowledge exchanges
For collaborative research and resource mobilization through informed call for proposal opportunities","Dr Paul Pinnock Bosu, Director General of CSIR","Wilhemina Quaye, Director of CSIR-STEPRI","quayewilhemina@yahoo.com","60","21","39","","CSIR-Science and Technology Policy Research Institute","Box CT 519","Accra","","","Ghana","director@csir-stepri.org","0302773856","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Dr Paul Pinnock Bosu","2025-02-03","",""
"Comité de Liaison Entrepreneuriat - Agriculture - Développement","COLEAD","Other (Specify)","Private sector not-for-profit association","To facilitate and implement all actions allowing, directly and/or indirectly, to increase the contribution of the agricultural sector, and horticulture in particular, to the achievement of the United Nations (UN) Sustainable Development Goals (SDGs).|","As a non-profit private sector association, networking and matchmaking are central to COLEAD's mission. The Research & Innovation Brokerage department strives to catalyze synergies among research and innovation programs, initiatives, and stakeholders, fostering dynamic, long-term partnerships that enhance expertise, share resources, and promote sustainable agriculture and food systems transformation. It aims to facilitate access to technology and knowledge via applied research and linkages to the private sector. By advancing food and nutrition security, resilience, youth employment, and gender equity in Africa and Europe, COLEAD contributes to the achievement of global Sustainable Development Goals (SDGs).
As a partner in the CEA FIRST project, COLEAD fully endorses and supports the establishment of the IRC. Joining the IRC offers COLEAD valuable access to a global community of networks, enabling it to benefit from numerous opportunities, including: finding partners with complementary expertise across regions, gaining priority access to information on AU-EU projects and policies, exchanging knowledge with researchers to explore resource opportunities, amplifying the impact of R&I interventions, and accessing grants and funding opportunities through consortium channels. These advantages align with COLEAD's goals of fostering innovation and driving impactful change in agriculture and food systems.","Jeremy Knops","Edouard Lehmann","edouard.lehmann@colead.link","80","44","36","","3, Avenue du Viaduc Bât B3A – CP 90761","","94550 Chevilly Larue","","","France","association@colead.link","25081090","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Jeremy Knops Délégué Général","2025-01-23","",""
"AFRICAN FORUM FOR AGRICULTURAL ADVISORY SERVICES","AFAAS","NGO","","AGRICULTURAL EXTENSION AND ADVISORY SERVICES","•	Finding partners with complementary skills and expertise across countries and regions
•	Priority access to information on current and expected AU-EU projects and policies","DR SILIM NAHDY MOHAMMED","DR LILIAN LIHASI KIDULA","llihasi@afaas-africa.org","18","6","12","","HOUSE NO 26 KIGOBE ROAD, MINISTERS' VILLAGE NTINDA","","KAMPALA","","","Uganda","secretariat@afaas-africa.org","312313400","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","SILIM NAHDY MOHAMMED","2025-01-20","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/1-cb6d30ecd4600c1d945f7313d7bb6668/2025/01/Dr-Silim-Nahdy.jpg","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/1-cb6d30ecd4600c1d945f7313d7bb6668/2025/01/Bank-advice-IRC-Subscription-UG02440Q0005503UGKLA.pdf"
"GanzAfrica Foundation","GA","NGO","","Food systems|Agriculture|Land Management, Environment","To participate in research and thought leadership, and network with other organizations in this sphere.","Thierry Hoza Ngoga","Comfort Mare","comfort.mare@ganzafrica.org","22","9","8","","27, KG 594","Kacyiru","Kigali","","","Rwanda","info@ganzafrica.org","799390199","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Thierry Hoza Ngoga","2024-12-11","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/1-cb6d30ecd4600c1d945f7313d7bb6668/2024/12/Thierry-Ngoga-profile-pic.png","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/1-cb6d30ecd4600c1d945f7313d7bb6668/2024/12/POP-Membership-of-the-AU-EU-International-Research-Consortium.jpeg"
"Forum for Agricultural Research in Africa","FARA","Research","","Agricultural Research|Knowledge Management and Communication|Policy Advocacy","","Dr. Aggrey Agumya","Irene Annor-Frempong","ifrempong@faraafrica.org","34","17","17","","No. 7 Flower Avenue, New Achimota Mile 7","","Accra","","","Ghana","info@faraafrica.org","0302744888","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Dr. Aggrey Agumya","2024-12-09","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/1-cb6d30ecd4600c1d945f7313d7bb6668/2024/12/Dr-Aggrey.jpg",""
