"Full Name of Legal Entity","Acronym of Organisation","Type of Organisation","Indicate the Type of Organisation","Key Priority Areas of the Organisation","Reason for joining the IRC","Name and Title of Highest Authority","Name of Focal Person for the IRC","Email of Focal Person (Enter Email)","Total Number of Staff","Females","Males","Others","Address (Street Address)","Address (Address Line 2)","Address (City)","Address (State / Province)","Address (ZIP / Postal Code)","Address (Country)","Email of  the Organisation (Enter Email)","Telephone Number of Organisation","Declaration: By checking this box, you agree that your organisation will uphold the terms set forth by the IRC and fulfil all membership obligations. (Consent)","Declaration: By checking this box, you agree that your organisation will uphold the terms set forth by the IRC and fulfil all membership obligations. (Text)","Declaration: By checking this box, you agree that your organisation will uphold the terms set forth by the IRC and fulfil all membership obligations. (Description)","Signed By:","Date","Upload Picture of Head of Organisation(Optional)"
"SARA","SARA","Research","","agricultural research","","SARA","SARA","mowusu@faraafrica.org","","","","","Flower Avenue, Mile 7, New Achimota-Accra, Ghana","","Accra","","","Ghana","mowusu@faraafrica.org","0243586705","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Madam Irene","2025-02-07",""
"Bonga University","BU","Other (Specify)","Public","Agriculture, Health, Business and economics","To identify partners who share the university's interests and work in collaboration on research projects aimed at enhancing agricultural products and improving societal health conditions.","Petros Woldegiorgis (PhD), President of Bonga University","Mulugeta Shiferaw (PhD)","mulugeta@bongau.edu.et","474","83","391","","SWE Kaffa","Kayakela","Bonga","","","Ethiopia","president@bongau.edu.et","930318043","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Petros Woldegiorgis (PhD) President of BU","2025-01-31",""
"Polytechnic University of Coimbra","PUC","Academia","","Research and Teaching of Agriculture","Polytechnic University of Coimbra (PUC; in Portuguese, Instituto Politécnico de Coimbra) is a higher education institution in Portugal that offers education and develops research in agriculture sensu lato.

PUC had and has ongoing collaborations with African universities, especially in Portuguese speaking countries (Angola, Mozambique, Cape Verde). These cover the education of farmers, promotion of entrepreneurship, and education on food technology, among others. In addition, PUC hosts a significant number of students in its bachelor's degrees from these countries every year, making strong ties with these countries.

The university's research agenda, in particular of its research center CERNAS (www.cernas.org),  aligns closely with the thematic priorities of the EU-AU FNSSA roadmap, including sustainable intensification, food systems for improved nutrition, and the enhancement of agricultural markets.

With a long record of experience in international research collaborations, PUC have demonstrated their capacity to effectively partner with institutions across Europe and Africa. Its participation in the Horizon and Erasmus projects and other bilateral initiatives highlights its ability to work across diverse cultural and institutional contexts. Additionally, the university has established itself as a hub for capacity development by offering training programs and mentoring opportunities to young researchers. This dedication to fostering a new generation of scientists, with an emphasis on supporting women and youth, aligns closely with the IRC's values and vision. PUC researchers have supervised several PhD students from African countries.

Therefore, PUC is well positioned to make significant contributions to the IRC through its expertise and strong commitment to advancing research and innovation in food security, nutrition, and sustainable agriculture.

The integration in IRC would open new doors to collaboration and complete the consortium with new competences that would enable it to further expand the African countries of collaboration and expand the competences of the consortium itself.","Marta Helena Fernandes Henriques - Director of i2A - Applied Research Institute of the Polytechnic University of Coimbra","Rui Manuel Machado da Costa","ruicosta@esac.pt","","","","","Rua da Misericórdia, Lagar dos Cortiços, S. Martinho do Bispo, 3045-093 Coimbra","","Coimbra","","","Portugal","geral@i2a.ipc.pt","239791250","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Marta Helena Fernandes Henriques - Director of the Applied Research Institute of the Polytechnic University of Coimbra","2025-01-21",""
"Gara Muleta General trade and Agro industry","GMGTAAI","SME","","Agricultural production and Climate Smart Agriculture|Food security abd Livelihoods, and Rural development ans Agricultural extension|Livestock production and feeds","To with Collaboration and enhancing Agricultural production and productivity, enhancing food Security","Suleymen Abdureman Omer, Manager","Suleymen Abdureman","gmgtaai@gmail.com","50","15","35","","Kurfa chele","","Kurfa chele","","","Ethiopia","gmgtaai@gmail.com","975817063","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Suleymen","2025-01-07",""
"Economists Byline Africa","EBAf","NGO","","Training & Capacity Building|Research & Innovation Scaling|Consultancy Services","Economists Byline Africa (EBAf) seeks to join the IRC to enhance its mission of empowering Africa's economic potential through education, policy engagement, and interdisciplinary collaboration. By becoming a member of the IRC, EBAf aims to:
1. Expand Collaborative Networks: Engage with diverse stakeholders across Africa and Europe, fostering partnerships that can lead to innovative solutions for economic and developmental challenges.
2. Access to Resources and Expertise: Leverage IRC members' collective knowledge and resources to enhance EBAf's research capabilities and policy advocacy efforts.
3. Contribute to Policy Dialogue: Participate actively in policy discussions and initiatives that align with EBAf's thematic areas, such as agricultural innovation, inclusive industrialisation, and climate-resilient development.
4. Promote Data-Driven Decision-Making: Collaborate on projects that utilise data to inform policies, thereby supporting EBAf's commitment to evidence-based policymaking.
5. Enhance Capacity Building: Benefit from and contribute to capacity-building programs that empower young economists, policymakers, and development practitioners in Africa.","Dr. Muhammad Baba Bello, Director","Dr. Stephan Onakuse, President Agrinatura","mbbello@economistsbyline.africa","14","6","9","0","228, New Court Road, Gyadi-Gyadi Quarters, Kano, Nigeria.","","Kano","","","Nigeria","info@economistsbyline.africa","8130299337","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Muhammad Baba Bello","2024-12-08","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/3-c1c613b4099ee87926c248b53b1b0141/2024/12/MBB_picture.png"
"European Forum on Agricultural Research for Development","EFARD","Other (Specify)","Multi-stakeholder platform","To encourage dialogue between European agricultural research and development (AR4D) stakeholders promoting awareness, innovative approaches, and partnerships for AR4D.|To support global AR4D initiatives within the framework of the GFAiR|To promote inter-regional partnerships and collaborative AR4D activities for joint research initiatives, capacity strengthening and greater impact","We would like to share information and mobilize relevant expertise from within our network.","Prof. Dr. Dietrich Darr (Chair)","Dietrich Darr","dietrich.darr@efard.org","5","1","4","0","c/o COLEAD","Avenue Arnaud Fraiteur 15/23","B-1050 Brussels","","","Belgium","murat.sartas@efard.org","12345678","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Dietrich Darr","2024-11-13",""
"Innovametrics Ltd.","Innovametrics Ltd.","Private Sector","","Local development","We would like to learn more about the opportunities we can share and benefit our colleagues and sister organizations in Rwanda.","Dr. Murat Sartas, Founder, Chair","Ms. Ana Lucia Vasco Carrillo, Managing Direcror","ana@innovametrics.org","3","2","1","","Norrsken Kigali House 1 KN 78 St, Kigali, Rwanda","","Kigali","","","Rwanda","murat@innovametrics.org","0780458641","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Murat Sartas - Founder, Chair","2024-11-12","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/3-c1c613b4099ee87926c248b53b1b0141/2024/11/Murat-profile-less-than-5-mb.jpg"
"Takudzwa Makomva","Ministry of Lands, Agriculture, Fisheries, Water and Rural Development","Other (Specify)","Ministry of Lands, Agriculture, Fisheries, Water and Rural Development","Ministry of Lands, Agriculture, Fisheries, Water and Rural Development","To contribute ideas 💡 as a youth towards the development of Africa","Student","Takudzwa Makomva","makomvatakudzwa2000@gmail.com","0","0","0","0","Ngungunyana building","1 liberation legacy way","Harare","","","Zimbabwe","makomvatakudzwa2000@gmail.com","0779551908","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Takudzwa Makomva","2024-11-01","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/3-c1c613b4099ee87926c248b53b1b0141/2024/11/m7n4c2.jpg"
"Small Medium Agribusiness Enterprise Development Services Tanzania","SMAED Service Tanzania","Private Sector","","Agriculture economics and Rural Development","Our areas of expertise are in line with those of IRC and Learning , innovation is our key areas for agriculture and development","Anasia Gasper Maleko PhD","Dr. Anasia Gasper Maleko","anasiag2001@yahoo.co.uk","5","3","2","","P.o  Box 2182","Dodoma, Tanzania","Dar es Salaam","","","Tanzania, the United Republic of","info@smaedstz.org","0754306289","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Anasia Gasper Maleko","2024-10-31","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/3-c1c613b4099ee87926c248b53b1b0141/2024/10/ANASIA-4.jpg"
"Resilient40","R40","NGO","","Climate policy and Adaptation|Climate Resilient Food systems|Youth","The #Resilient40 (#R40) is an African youth climate network made up of over 168 youth organizations and over 70 prominent young leaders from 30 African countries. We are the youth cluster lead under the non state actors steering committee channeling African youth voices into decision making processes across Africa. We are a core partner of the COP Water for Climate Pavilion (www.waterforclimate.net) 

We are a unique diverse cross-sectoral group of passionate individuals committed to working with communities on food security, climate justice, governance, finance, nature conservation, human rights, climate resilience, and making their voices heard across Africa and globally. This next generation of leaders created a platform to build momentum to face the threat of climate change and to improve climate resilience across Africa and around the world.

By joining the IRC, we hope to contribute as well channel African youth perspectives to the different engagements under IRC as we together strive to build healthy food secure climate resilient communities across Africa.","Michael Kakande, Chairperson","Michael Kakande","michael.kakande@resilient40.org","12","8","4","","Kampala, Uganda","PO BOX 154916","Kampala","","","Uganda","theresilient40africa@gmail.com","752814851","Checked","I confirm that my organisation accepts the obligations and terms of membership in the IRC","","Michael Kakande, Chairperson","2024-10-31","https://irc-ceafirst.org/wp-content/uploads/gravity_forms/3-c1c613b4099ee87926c248b53b1b0141/2024/10/Passport-photo.pdf"
